s2,s3,s4,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21
642.01,1584.11,1399.13,554.96,2387.98,9062.98,47.21,521.93,2387.97,8153.56,8.4180,390,39.04,23.3954
642.21,1589.36,1400.01,554.88,2388.01,9066.65,47.01,522.24,2387.99,8149.00,8.4034,391,39.12,23.4602
641.88,1584.72,1385.71,554.62,2388.01,9065.55,47.02,522.67,2388.00,8149.54,8.3968,391,39.10,23.4088
642.45,1581.35,1398.02,555.33,2388.04,9071.39,47.19,522.80,2387.97,8149.63,8.3908,392,38.95,23.4049
642.82,1589.82,1400.17,554.10,2387.93,9066.50,47.18,522.14,2388.01,8150.64,8.3848,392,39.22,23.2993
642.20,1586.23,1406.48,555.28,2387.96,9062.44,47.19,522.52,2387.99,8145.50,8.3950,392,39.03,23.3789
642.78,1583.67,1401.34,554.47,2387.99,9070.21,47.17,522.85,2388.02,8150.28,8.4229,391,39.02,23.4239
642.09,1582.99,1395.06,554.20,2388.01,9062.51,47.14,522.24,2387.97,8146.69,8.4221,392,38.96,23.4684
642.42,1585.93,1404.77,553.91,2388.00,9076.86,47.09,522.13,2388.03,8147.89,8.3790,392,39.04,23.3734
642.41,1583.26,1397.79,554.58,2388.00,9065.73,47.10,522.40,2388.03,8142.06,8.4025,391,38.97,23.4620
642.18,1579.98,1398.09,554.55,2387.97,9068.40,46.93,522.77,2388.02,8147.32,8.4224,391,39.15,23.4538
642.28,1577.97,1392.77,554.61,2387.99,9068.08,47.15,522.03,2387.95,8155.75,8.4329,390,39.08,23.4256
642.50,1583.61,1405.74,554.94,2387.98,9070.12,47.24,522.17,2388.04,8144.72,8.3996,391,39.01,23.3770
642.36,1589.16,1394.71,554.59,2388.00,9059.35,47.05,522.40,2388.01,8144.78,8.3630,392,39.22,23.2992
641.50,1591.20,1403.88,554.67,2388.02,9061.82,47.17,522.72,2388.00,8142.66,8.3696,392,39.07,23.3747
642.28,1586.38,1396.96,555.03,2388.03,9053.87,47.12,522.32,2387.97,8144.04,8.3868,390,39.25,23.3578
641.86,1584.70,1402.88,554.83,2388.00,9065.31,47.26,522.26,2388.01,8147.77,8.3755,391,39.05,23.4375
642.66,1589.46,1392.92,554.55,2387.96,9066.85,47.00,521.54,2388.05,8148.51,8.4011,391,39.02,23.4427
641.65,1580.10,1400.66,554.80,2387.98,9064.95,46.98,522.48,2387.99,8147.64,8.4104,391,38.96,23.3843
642.13,1588.43,1396.62,554.43,2387.95,9067.82,47.16,522.95,2388.00,8147.45,8.3598,393,38.91,23.3963
642.13,1585.19,1394.03,554.60,2387.99,9066.65,47.24,522.23,2388.02,8147.88,8.4113,391,39.10,23.4079
642.40,1587.61,1389.33,555.22,2388.00,9063.22,47.24,522.38,2387.95,8148.75,8.3867,392,39.06,23.5022
642.05,1577.93,1394.98,554.49,2387.97,9070.86,47.20,522.29,2387.99,8147.58,8.3988,392,39.14,23.4374
642.36,1587.12,1398.18,554.21,2387.98,9060.90,47.35,522.21,2388.01,8144.20,8.3946,390,39.04,23.4721
642.50,1590.88,1402.27,553.99,2388.02,9077.16,47.11,522.17,2388.00,8143.49,8.4317,391,38.88,23.3043
642.31,1581.69,1395.25,554.23,2387.99,9069.29,47.16,522.73,2387.96,8150.99,8.4164,389,39.27,23.3825
642.56,1592.02,1403.54,554.23,2388.00,9063.13,47.16,522.42,2388.02,8152.04,8.3851,392,38.96,23.4855
642.28,1582.38,1399.57,554.39,2387.98,9066.03,47.19,522.35,2387.98,8147.00,8.3930,392,39.03,23.4273
642.02,1583.60,1395.14,554.08,2388.03,9070.51,47.01,522.46,2388.01,8145.47,8.4023,391,39.03,23.3276
642.20,1584.74,1398.54,554.36,2387.99,9066.42,47.11,522.67,2388.05,8154.02,8.3797,390,39.05,23.4415
642.08,1586.23,1397.62,553.75,2387.99,9065.01,47.19,522.52,2387.99,8148.84,8.3892,392,38.96,23.5103
642.07,1586.97,1395.10,554.83,2388.02,9063.15,47.18,522.58,2388.06,8147.90,8.3726,391,39.12,23.3589
642.18,1589.10,1397.49,554.98,2387.93,9073.75,47.01,522.38,2387.89,8149.03,8.3945,394,39.02,23.4619
641.92,1576.96,1399.05,554.26,2388.03,9065.24,47.15,522.63,2387.99,8148.32,8.3957,392,39.11,23.4974
642.08,1584.16,1398.30,554.07,2388.05,9066.75,47.26,522.23,2387.99,8143.32,8.4311,390,38.98,23.4596
642.15,1585.36,1395.97,554.54,2388.04,9064.45,47.22,522.61,2387.99,8149.75,8.4023,391,39.04,23.3855
642.13,1590.10,1397.32,553.87,2387.99,9073.69,47.30,522.23,2387.94,8153.62,8.3806,391,39.03,23.4648
642.65,1580.52,1398.39,553.60,2387.99,9060.40,47.23,522.31,2388.05,8150.06,8.4021,391,38.99,23.5165
641.59,1582.83,1401.95,554.17,2388.05,9067.17,47.27,521.92,2387.97,8155.86,8.4292,390,39.09,23.4162
642.23,1581.27,1396.81,555.11,2387.96,9068.56,47.31,522.62,2387.97,8152.68,8.4034,391,38.96,23.3961
641.65,1578.86,1399.65,553.96,2387.97,9064.62,47.29,522.31,2387.94,8148.14,8.3996,391,39.07,23.4230
642.19,1589.86,1391.47,554.61,2387.95,9067.40,47.11,522.26,2388.02,8147.40,8.4118,392,39.12,23.3441
642.48,1584.96,1399.81,555.20,2387.99,9064.13,47.12,521.89,2387.98,8148.90,8.4037,391,39.00,23.3849
641.87,1586.74,1395.76,553.94,2388.02,9069.85,47.26,522.60,2388.03,8152.13,8.4102,393,39.36,23.4337
642.24,1587.71,1403.58,553.76,2387.95,9064.08,47.33,522.69,2387.98,8154.90,8.3930,392,38.99,23.4416
642.16,1590.26,1399.99,554.10,2388.00,9070.85,47.23,522.04,2387.95,8152.63,8.4134,391,38.95,23.3899
642.19,1580.60,1400.28,554.78,2388.00,9064.94,47.18,522.33,2388.01,8140.50,8.4214,393,39.08,23.3711
642.46,1584.08,1399.88,554.62,2387.97,9072.61,47.18,522.40,2388.04,8147.51,8.3792,390,38.96,23.3585
642.67,1582.78,1392.57,554.51,2387.99,9065.88,47.19,522.16,2388.04,8148.56,8.3924,393,39.09,23.3809
642.33,1592.17,1396.92,554.41,2388.00,9072.75,47.12,523.04,2388.01,8149.76,8.3930,393,38.90,23.3814
641.41,1585.39,1395.49,554.38,2387.94,9069.52,47.15,522.65,2387.97,8147.99,8.4159,391,39.04,23.3169
641.72,1583.22,1398.59,554.06,2388.00,9072.56,47.18,522.21,2388.02,8150.86,8.3855,391,39.04,23.4064
642.13,1586.54,1397.11,555.06,2387.98,9070.14,47.28,522.12,2388.01,8148.74,8.4092,392,39.05,23.3036
642.07,1584.06,1400.76,553.91,2388.02,9066.02,47.37,522.57,2387.97,8149.40,8.4166,391,38.93,23.3686
642.19,1584.98,1401.97,553.80,2387.99,9065.61,47.52,523.20,2388.04,8153.49,8.3714,392,39.03,23.4801
642.17,1586.72,1396.07,553.66,2387.97,9069.70,47.30,521.72,2388.00,8148.32,8.4047,392,38.96,23.3708
642.42,1590.45,1404.42,554.50,2388.01,9072.65,47.17,521.98,2387.97,8146.29,8.3839,391,38.96,23.3618
641.91,1580.22,1409.63,554.65,2387.94,9071.77,47.06,523.04,2387.99,8157.26,8.3774,390,39.11,23.3100
642.49,1584.97,1398.25,554.37,2387.96,9072.55,47.15,522.84,2387.97,8151.59,8.4248,392,39.05,23.4639
642.26,1588.64,1402.06,554.15,2387.99,9071.63,47.29,521.80,2388.06,8150.63,8.4043,391,39.08,23.3772
642.57,1581.33,1392.92,554.57,2388.02,9075.91,47.22,522.80,2387.98,8157.34,8.4124,394,39.02,23.3472
642.05,1587.62,1401.59,553.83,2388.00,9065.96,47.21,522.75,2388.08,8153.03,8.3863,393,38.93,23.4493
642.37,1582.05,1400.27,554.81,2388.03,9072.97,47.30,522.71,2388.03,8150.93,8.3887,392,38.92,23.5039
642.44,1589.81,1404.92,553.41,2388.01,9066.05,47.35,522.67,2388.03,8152.32,8.3906,392,38.90,23.3976
642.12,1579.82,1394.82,554.58,2388.02,9067.06,47.38,521.82,2388.00,8152.88,8.4159,390,38.97,23.4018
641.99,1587.63,1397.43,554.45,2387.98,9070.32,47.25,522.76,2388.03,8151.63,8.4076,392,39.06,23.2694
642.63,1576.96,1395.11,554.82,2388.00,9067.11,47.31,521.94,2388.06,8149.89,8.4162,393,39.02,23.3548
642.39,1583.41,1399.33,554.00,2388.00,9070.41,47.17,522.01,2387.98,8154.61,8.4025,390,39.01,23.4081
642.57,1584.78,1401.19,554.61,2388.02,9076.36,46.97,522.32,2388.00,8156.42,8.3881,392,39.03,23.4787
642.17,1580.72,1387.98,553.98,2388.07,9070.97,47.20,522.38,2388.04,8152.09,8.4099,392,38.97,23.4312
641.82,1591.49,1395.83,553.95,2388.01,9073.77,47.17,522.43,2387.98,8156.97,8.4249,391,38.94,23.4820
641.84,1584.82,1394.80,553.80,2387.94,9067.78,47.29,522.04,2387.99,8153.60,8.3765,391,38.88,23.3424
642.13,1594.36,1399.84,554.20,2388.03,9079.95,47.16,522.22,2388.00,8151.22,8.4142,392,38.83,23.4334
642.44,1588.52,1399.93,553.66,2387.98,9075.45,47.24,522.49,2387.99,8154.46,8.4208,392,38.95,23.3811
642.55,1586.72,1400.71,554.65,2387.97,9081.38,47.22,521.68,2387.99,8156.65,8.4137,391,38.87,23.2879
642.22,1584.23,1395.06,554.11,2388.02,9071.65,47.27,522.75,2387.99,8152.07,8.3805,393,38.90,23.5043
641.39,1589.97,1403.74,553.73,2387.98,9075.95,47.27,523.14,2387.97,8159.56,8.3728,392,39.04,23.3476
642.19,1593.35,1395.01,554.34,2387.96,9071.28,47.22,522.42,2388.02,8156.75,8.4319,391,39.05,23.3220
642.28,1587.76,1400.70,554.18,2387.97,9073.14,47.12,522.22,2388.02,8161.29,8.4315,394,39.08,23.3444
642.24,1585.69,1403.22,553.97,2388.02,9062.88,47.28,521.82,2388.01,8150.85,8.4332,392,38.97,23.3520
642.55,1579.33,1401.31,554.80,2388.04,9069.69,47.14,522.20,2387.96,8154.66,8.4054,391,38.90,23.3869
642.33,1583.35,1392.76,553.54,2387.97,9063.20,47.28,521.94,2387.95,8155.77,8.4208,392,38.82,23.3855
642.37,1582.75,1405.54,554.38,2387.96,9074.46,47.21,522.41,2388.04,8155.80,8.3785,393,38.84,23.3871
642.49,1583.54,1403.30,553.95,2388.02,9071.13,47.25,522.23,2387.92,8152.24,8.4100,394,38.78,23.4276
642.14,1593.82,1408.13,554.75,2388.08,9074.71,47.30,521.47,2388.03,8158.70,8.3876,392,39.18,23.3787
641.97,1589.18,1403.02,555.15,2387.98,9072.90,47.15,522.28,2388.00,8153.47,8.3860,391,38.90,23.3983
642.43,1585.10,1402.56,553.94,2388.02,9080.37,47.18,522.30,2388.02,8155.73,8.4401,391,38.87,23.3649
642.38,1578.30,1402.37,554.35,2387.96,9075.95,47.33,522.40,2388.05,8162.28,8.4028,391,38.90,23.3391
642.01,1588.36,1403.28,554.78,2387.98,9077.79,47.31,522.16,2387.98,8156.98,8.4015,392,38.88,23.3298
642.52,1591.63,1403.40,553.49,2388.00,9079.25,47.42,522.26,2387.98,8160.26,8.4134,393,38.81,23.3996
642.42,1596.38,1405.35,553.86,2388.02,9076.08,47.28,522.22,2387.98,8158.49,8.4119,391,38.97,23.3689
642.13,1590.48,1397.08,554.03,2388.06,9068.88,47.25,522.16,2388.07,8160.58,8.4092,393,39.01,23.4359
642.32,1578.53,1401.94,553.93,2388.02,9083.24,47.27,522.29,2388.03,8161.43,8.4304,392,38.91,23.4723
642.35,1583.25,1404.44,554.19,2388.02,9076.64,47.29,522.94,2388.02,8162.40,8.4110,390,38.84,23.3560
642.85,1588.27,1408.40,553.37,2388.04,9078.36,47.31,522.37,2388.01,8161.68,8.4520,391,39.05,23.3408
642.22,1588.75,1406.34,554.76,2388.04,9076.19,47.29,522.36,2388.00,8159.80,8.4160,392,39.03,23.3906
641.81,1584.14,1404.24,553.58,2387.97,9078.06,47.47,521.69,2388.00,8155.05,8.4056,392,39.10,23.3408
642.65,1583.04,1404.96,553.60,2388.02,9077.11,47.32,522.27,2388.00,8155.32,8.4175,391,38.99,23.3367
642.30,1583.37,1397.39,553.77,2388.03,9077.82,47.42,521.65,2387.99,8162.91,8.4295,394,39.01,23.3654
641.98,1585.74,1402.92,554.50,2388.00,9075.40,47.28,522.50,2388.01,8156.21,8.4395,394,38.86,23.3911
642.45,1592.56,1401.07,554.35,2388.04,9080.12,47.30,522.46,2387.97,8163.47,8.4308,393,38.97,23.3239
642.14,1596.54,1395.72,553.80,2387.94,9085.26,47.41,521.96,2387.99,8165.16,8.4302,393,39.05,23.4103
641.89,1584.19,1407.29,553.89,2388.00,9085.11,47.15,522.68,2388.04,8159.49,8.4225,393,38.98,23.3991
642.66,1583.99,1407.27,554.53,2388.00,9081.86,47.27,522.38,2388.00,8166.23,8.3972,393,39.07,23.3281
642.50,1582.67,1407.47,554.35,2387.96,9087.95,47.61,522.37,2388.08,8160.02,8.4366,392,38.90,23.2142
642.56,1587.99,1403.68,554.49,2387.96,9083.87,47.45,521.91,2388.04,8161.91,8.4743,393,38.93,23.3461
641.75,1591.07,1402.53,554.76,2387.98,9084.61,47.44,521.90,2388.03,8159.62,8.4009,393,39.07,23.3954
642.35,1591.70,1405.99,554.63,2388.03,9086.42,47.46,522.13,2388.04,8168.53,8.4068,392,38.77,23.4256
642.32,1588.80,1401.51,554.72,2388.07,9083.46,47.40,521.79,2388.02,8162.10,8.4173,393,39.10,23.3504
642.52,1589.25,1402.29,553.95,2387.93,9085.68,47.45,522.06,2388.05,8167.79,8.4516,391,38.81,23.4587
642.38,1597.96,1404.71,554.43,2387.98,9083.45,47.32,522.09,2388.04,8166.73,8.4070,394,38.90,23.3944
642.61,1583.60,1412.04,554.93,2387.96,9089.74,47.43,522.18,2387.95,8162.26,8.4462,393,38.93,23.2994
642.40,1587.44,1405.35,553.94,2388.05,9082.60,47.46,522.33,2388.01,8170.48,8.4317,392,38.89,23.4418
642.40,1584.67,1403.80,554.55,2388.08,9092.79,47.33,521.11,2387.99,8172.67,8.4168,393,38.95,23.2181
642.44,1588.50,1400.40,553.69,2388.05,9092.26,47.51,522.02,2387.99,8168.68,8.4379,392,38.90,23.3763
642.47,1592.92,1394.74,554.07,2388.01,9088.85,47.30,522.26,2387.99,8170.12,8.3915,393,38.84,23.3517
642.18,1586.81,1398.99,553.91,2388.00,9087.59,47.45,521.15,2387.98,8176.18,8.4013,393,38.87,23.2786
642.66,1588.08,1407.45,554.11,2387.98,9096.82,47.43,522.07,2388.07,8175.02,8.4184,391,38.87,23.4615
642.64,1591.75,1407.26,553.58,2387.98,9091.36,47.52,521.64,2388.07,8168.54,8.4280,393,38.93,23.3727
642.54,1588.72,1403.46,554.48,2388.05,9094.33,47.63,521.93,2388.01,8172.22,8.4346,393,39.02,23.2880
642.47,1586.74,1410.84,553.41,2388.05,9097.12,47.44,521.31,2388.01,8167.75,8.4328,394,38.88,23.3388
642.07,1584.60,1405.81,553.82,2388.03,9088.24,47.47,521.90,2388.03,8170.50,8.4337,393,38.83,23.3733
641.96,1583.12,1402.53,553.51,2388.04,9107.12,47.38,521.97,2388.03,8177.00,8.4445,394,39.02,23.3327
642.65,1589.54,1404.25,553.93,2388.01,9099.79,47.54,521.63,2388.06,8179.76,8.4461,392,38.85,23.2491
642.63,1587.16,1408.04,553.43,2388.05,9098.75,47.57,522.22,2388.06,8166.61,8.4270,393,39.11,23.3512
642.65,1588.76,1409.19,553.89,2388.02,9103.33,47.45,522.08,2388.06,8179.33,8.4239,393,38.81,23.3500
642.13,1593.14,1407.88,554.21,2388.02,9099.92,47.41,521.75,2388.00,8176.86,8.4572,394,38.86,23.2574
642.67,1595.17,1412.74,554.57,2388.05,9098.24,47.48,522.16,2388.02,8175.27,8.4102,392,38.99,23.3692
642.96,1589.10,1407.18,553.48,2388.05,9099.44,47.39,521.94,2388.08,8174.36,8.4370,394,38.85,23.3339
642.67,1595.24,1409.60,554.38,2388.00,9101.64,47.46,521.74,2388.07,8179.96,8.4328,392,38.90,23.3446
642.73,1588.92,1406.64,553.55,2388.02,9104.51,47.49,521.86,2388.08,8176.29,8.4184,393,39.08,23.4105
642.92,1596.61,1404.55,554.05,2388.03,9093.75,47.57,521.86,2388.02,8183.80,8.4445,392,38.92,23.3563
643.13,1586.61,1403.93,553.76,2388.02,9106.52,47.61,521.97,2388.06,8179.49,8.4550,393,38.87,23.3396
642.69,1586.33,1409.74,554.17,2388.05,9109.29,47.46,521.91,2388.02,8185.35,8.4313,394,38.81,23.3096
642.74,1596.83,1410.60,553.81,2388.07,9105.50,47.57,521.99,2388.04,8180.85,8.4341,393,38.93,23.2395
642.45,1589.39,1405.73,553.12,2387.99,9110.19,47.53,522.29,2388.07,8186.55,8.4569,393,38.87,23.2550
642.40,1589.50,1401.84,553.53,2388.02,9108.39,47.47,521.62,2388.06,8182.32,8.4647,395,38.73,23.1809
642.70,1592.70,1409.95,553.05,2388.05,9110.40,47.64,521.95,2388.04,8186.12,8.4526,393,38.88,23.4006
642.03,1588.14,1409.49,553.68,2388.10,9108.64,47.70,521.78,2388.07,8184.26,8.4304,392,38.86,23.2558
642.35,1590.63,1406.16,553.41,2387.98,9113.39,47.51,521.45,2388.00,8187.28,8.4535,393,39.03,23.2782
642.74,1592.15,1409.86,553.18,2388.03,9111.74,47.55,522.11,2388.04,8184.20,8.4495,393,38.86,23.2202
642.79,1590.08,1410.14,552.89,2388.01,9116.53,47.48,521.34,2388.10,8186.19,8.4081,393,38.76,23.2521
642.33,1587.22,1413.32,553.28,2388.04,9111.40,47.54,521.66,2388.06,8190.25,8.4407,393,38.66,23.2812
643.26,1595.96,1410.69,552.88,2387.98,9121.95,47.61,520.59,2388.05,8191.99,8.4580,395,38.96,23.3212
643.16,1594.15,1406.47,553.88,2388.07,9122.16,47.46,521.73,2388.06,8192.59,8.4982,394,38.67,23.2950
642.52,1585.25,1410.14,553.58,2388.05,9122.62,47.66,521.90,2388.06,8193.29,8.4461,394,38.82,23.2695
642.72,1595.06,1417.48,553.29,2388.03,9130.08,47.64,521.80,2388.06,8191.52,8.4643,393,38.81,23.2050
642.78,1592.41,1417.48,553.26,2388.09,9126.77,47.68,521.54,2388.09,8200.35,8.4667,393,38.81,23.2800
643.08,1595.81,1410.33,553.28,2388.03,9125.49,47.36,521.13,2388.12,8202.42,8.4719,395,38.71,23.1702
642.83,1593.54,1413.59,552.80,2388.08,9130.07,47.58,521.36,2388.10,8201.56,8.4196,392,38.69,23.1853
642.40,1588.78,1409.38,553.06,2388.04,9125.70,47.54,521.28,2388.07,8193.74,8.4830,395,38.82,23.3295
642.84,1597.53,1413.67,552.98,2388.01,9126.17,47.58,521.37,2388.11,8200.38,8.4410,395,38.90,23.1707
643.44,1596.55,1407.89,553.70,2388.10,9133.44,47.53,521.38,2388.06,8200.05,8.4495,395,38.78,23.1389
643.13,1594.80,1418.11,552.44,2388.05,9137.69,47.47,522.30,2388.13,8202.72,8.4509,394,38.75,23.2534
642.83,1605.58,1413.30,553.90,2388.09,9137.40,47.68,521.43,2388.09,8201.98,8.4441,395,38.83,23.2741
642.86,1597.43,1406.01,553.59,2388.05,9138.95,47.81,521.42,2388.05,8209.72,8.4904,394,38.70,23.2389
643.03,1590.39,1413.22,552.69,2388.09,9146.03,47.63,521.37,2388.07,8211.53,8.4491,394,38.58,23.2946
643.36,1588.34,1412.60,553.61,2388.10,9145.77,47.64,521.78,2388.04,8214.33,8.4718,394,38.58,23.2278
642.95,1589.65,1411.51,553.17,2388.06,9145.88,47.82,521.18,2388.12,8207.51,8.4825,395,38.56,23.2838
642.85,1604.42,1418.63,552.60,2388.10,9142.18,47.72,521.34,2388.14,8218.13,8.4421,395,38.59,23.3277
643.28,1593.82,1415.13,553.78,2388.08,9148.56,47.70,520.69,2388.07,8211.21,8.4785,393,38.72,23.2093
